img-dnn,xapian,masstree,50,20,100,hist
1.864,8.329,3.369,0.03728,0.41645,0.03369,0.162473333
1.936,4.945,3.192,0.03872,0.24725,0.03192,0.105963333
3.416,4.738,7.48,0.06832,0.2369,0.0748,0.126673333
3.666,5.469,4.767,0.07332,0.27345,0.04767,0.13148
1.938,4.985,3.522,0.03876,0.24925,0.03522,0.107743333
1.731,5.71,3.234,0.03462,0.2855,0.03234,0.117486667
1.893,6.791,57.231,0.03786,0.33955,0.57231,0.316573333
1.887,5.005,3.325,0.03774,0.25025,0.03325,0.10708
1.706,5.707,56.374,0.03412,0.28535,0.56374,0.294403333
1.964,6.626,3.233,0.03928,0.3313,0.03233,0.134303333
1.703,4.889,3.294,0.03406,0.24445,0.03294,0.103816667
1.981,4.585,3.675,0.03962,0.22925,0.03675,0.101873333
1.76,5.857,4.785,0.0352,0.29285,0.04785,0.1253
